canonical name,sc23 booth area sqft,sc24 booth area sqft,sqft increase
asia supercomputer community,400.0,400.0,0.0
gigaio,400.0,400.0,0.0
barcelona supercomputing center,400.0,400.0,0.0
texas tech university,200.0,200.0,0.0
the digital research alliance of canada,200.0,200.0,0.0
the university of tokyo,200.0,200.0,0.0
speck industries lp,200.0,200.0,0.0
national institute of informatics,200.0,200.0,0.0
nara institute of science technology,200.0,200.0,0.0
nagoya university,200.0,200.0,0.0
cpc,200.0,200.0,0.0
nsf center for space highperformance and resilient computing,200.0,200.0,0.0
national security agency nsa,200.0,200.0,0.0
nist national institute of standards and technology,200.0,200.0,0.0
moog inc,200.0,200.0,0.0
microway inc,200.0,200.0,0.0
michigan state university,200.0,200.0,0.0
chilldyne inc,200.0,200.0,0.0
beehe electric taicang coltd,200.0,200.0,0.0
danfoss power solutions,200.0,200.0,0.0
university at buffalo center for computational research,200.0,200.0,0.0
university of kentucky,200.0,200.0,0.0
10gtek,100.0,100.0,0.0
