sc23 company name,sc23 booth number,sc23 booth area sqft,sc23 normalized company name,sc24 company name,sc24 booth number,sc24 booth area sqft,sc24 normalized company name,canonical name,max booth area sqft,sqft increase,sqft abs change
Nimbus Data,1881,400.0,nimbus data,,,0.0,,nimbus data,400.0,-400.0,400.0
,,0.0,,Exhibitor Lounge,4861,400.0,exhibitor lounge,exhibitor lounge,400.0,400.0,400.0
,,0.0,,INAF,439,400.0,inaf,inaf,400.0,400.0,400.0
VAST Data,1343,1600.0,vast data,VAST Data,1722,1200.0,vast data,vast data,1600.0,-400.0,400.0
Lambda,1601,800.0,lambda,Lambda,2715,400.0,lambda,lambda,800.0,-400.0,400.0
Viking Enterprise Solutions,1975,400.0,viking enterprise solutions,Viking Enterprise Solutions,2105,800.0,viking enterprise solutions,viking enterprise solutions,800.0,400.0,400.0
Data in Science Corporation,555,500.0,data in science corporation,Data in Science Corporation,1451,900.0,data in science corporation,data in science corporation,900.0,400.0,400.0
Partnership for Advanced Computing in Europe (PRACE),2171,800.0,partnership for advanced computing in europe prace,Partnership for Advanced Computing in Europe (PRACE),4055,400.0,partnership for advanced computing in europe prace,partnership for advanced computing in europe prace,800.0,-400.0,400.0
nVent,1501,1200.0,nvent,nVent,1738,1600.0,nvent,nvent,1600.0,400.0,400.0
"CIQ: Fuzzball/HPC-2.0, Rocky Linux, Apptainer/Singularity, Warewulf",1855,600.0,ciq,CIQ,4131,1000.0,ciq,ciq,1000.0,400.0,400.0
Pure Storage,1353,1600.0,pure storage,Pure Storage,1231,1200.0,pure storage,pure storage,1600.0,-400.0,400.0
Rittal GmbH & Co. KG,1,6.0,rittal,Rittal GmbH & Co. KG,551,400.0,rittal,rittal,400.0,394.0,394.0
QCT,799,225.0,qct,QCT,1013,600.0,qct,qct,600.0,375.0,375.0
NCAR,1517,900.0,ncar,NCAR,931,600.0,ncar,ncar,900.0,-300.0,300.0
QScale,250,300.0,qscale,,,0.0,,qscale,300.0,-300.0,300.0
Google LLC,443,1500.0,google llc,Google LLC,1730,1200.0,google llc,google llc,1500.0,-300.0,300.0
DDN - The Ai Data Company,1335,900.0,ddn,DDN,2431,600.0,ddn,ddn,900.0,-300.0,300.0
Submer,1043,300.0,submer,Submer,2723,600.0,submer,submer,600.0,300.0,300.0
